a	b	c	d	e	f
74.9637742	119.9816892	124.9511719	1344.63501	1341.156006	3.479003906
76.96690011	119.9816892	124.9053955	1344.848633	1341.278076	3.570556641
77.94659209	129.9610895	129.2175293	1345.062256	1341.491699	3.570556641
80.96507812	129.9610895	134.9761963	1345.367432	1341.61377	3.753662109
82.96720004	129.9610895	134.9395752	1345.367432	1341.674805	3.692626953
83.9470191	139.9862669	139.1235352	1345.76416	1341.888428	3.875732422
86.9652431	139.9862669	144.9188232	1345.977783	1341.918945	4.058837891
88.96481705	139.9862669	144.8547363	1345.88623	1341.97998	3.90625
89.948071	149.9656672	148.7457275	1346.435547	1342.254639	4.180908203
92.96654201	149.9656672	154.788208	1346.618652	1342.498779	4.119873047
94.96486712	149.9656672	154.9255371	1346.618652	1342.315674	4.302978516
95.94811106	159.9908446	158.7890625	1346.984863	1342.62085	4.364013672
98.96683908	159.9908446	164.7491455	1347.229004	1342.74292	4.486083984
100.966413	159.9908446	164.7125244	1347.167969	1342.74292	4.425048828
101.9496601	169.9702449	168.9239502	1347.65625	1343.109131	4.547119141
104.9684062	169.9702449	174.5819092	1347.900391	1343.261719	4.638671875
106.966706	169.9702449	174.6917725	1347.991943	1343.292236	4.699707031
107.9499502	179.9954223	179.1320801	1348.266602	1343.444824	4.821777344
110.9686792	179.9954223	184.5336914	1348.632813	1343.597412	5.035400391
112.96826	179.9954223	184.5977783	1348.510742	1343.536377	4.974365234
113.9502461	189.9748226	189.2669678	1348.937988	1343.811035	5.126953125
116.9689751	189.9748226	194.4396973	1349.304199	1343.87207	5.432128906
118.9685531	189.9748226	194.4122314	1349.212646	1343.87207	5.340576172
119.951673	200	198.7518311	1349.639893	1344.116211	5.523681641
122.9703951	200	204.3640137	1349.945068	1344.268799	5.676269531
124.9689751	200	204.3365479	1349.975586	1344.329834	5.645751953
125.952373	209.9794003	209.0606689	1350.463867	1344.604492	5.859375
128.9713352	209.9794003	214.2974854	1350.708008	1344.787598	5.920410156
130.969774	209.9794003	214.3066406	1350.616455	1344.75708	5.859375
131.9532042	219.9588006	218.8659668	1351.074219	1345.062256	6.011962891
134.971745	219.9588006	224.2492676	1351.348877	1345.123291	6.225585938
136.971328	219.9588006	224.230957	1351.348877	1345.184326	6.164550781
137.9534681	229.983978	228.7994385	1351.898193	1345.458984	6.439208984
140.9722152	229.983978	234.1094971	1352.203369	1345.550537	6.652832031
142.972111	229.983978	234.1461182	1352.111816	1345.672607	6.439208984
143.9543211	239.9633783	238.5314941	1352.69165	1345.947266	6.744384766
146.9730141	239.9633783	244.0887451	1352.844238	1346.008301	6.8359375
148.9729061	239.9633783	244.1711426	1352.844238	1346.038818	6.805419922
149.954854	249.9885557	248.3276367	1353.45459	1346.466064	6.988525391
152.974565	249.9885557	254.0771484	1353.607178	1346.466064	7.141113281
154.973207	249.9885557	254.0405273	1353.607178	1346.588135	7.019042969
155.9563942	259.9679561	258.2611084	1354.064941	1346.801758	7.263183594
158.9748561	259.9679561	264.0289307	1354.309082	1347.045898	7.263183594
160.9744761	259.9679561	263.9831543	1354.309082	1346.893311	7.415771484
161.9564421	269.9931334	267.8833008	1355.041504	1347.198486	7.843017578
164.976155	269.9931334	273.9074707	1355.133057	1347.412109	7.720947266
166.974503	269.9931334	274.0447998	1355.163574	1347.381592	7.781982422
167.9574912	279.9725338	278.1188965	1355.743408	1347.77832	7.965087891
170.9762032	279.9725338	283.7677002	1355.895996	1347.869873	8.026123047
172.9757912	279.9725338	283.7860107	1355.926514	1347.900391	8.026123047
173.9539962	289.9977111	288.2354736	1356.414795	1348.144531	8.270263672
176.9775012	289.9977111	293.6462402	1356.658936	1348.358154	8.30078125
178.9760902	289.9977111	293.8293457	1356.750488	1348.419189	8.331298828
179.9557881	299.9771115	298.0133057	1357.391357	1348.724365	8.666992188
182.9780462	299.9771115	303.717041	1357.666016	1348.815918	8.850097656
184.97664	299.9771115	303.7261963	1357.635498	1348.815918	8.819580078
185.9563541	309.9565118	307.8094482	1358.215332	1349.304199	8.911132813
188.9583402	309.9565118	313.6138916	1358.428955	1349.304199	9.124755859
190.9579351	309.9565118	313.4307861	1358.398438	1349.334717	9.063720703
191.9396751	319.9816892	318.2098389	1359.039307	1349.54834	9.490966797
194.9593921	319.9816892	323.5565186	1359.100342	1349.853516	9.246826172
196.9577532	319.9816892	323.5656738	1359.130859	1349.822998	9.307861328
197.9407411	329.9610895	327.8411865	1358.886719	1350.128174	8.758544922
200.9604392	329.9610895	333.4716797	1358.398438	1350.341797	8.056640625
202.9587801	329.9610895	333.4625244	1358.642578	1350.372314	8.270263672
203.9382122	339.9862669	338.0126953	1359.069824	1350.55542	8.514404297
206.9604862	339.9862669	343.2312012	1359.313965	1350.830078	8.483886719
208.9590821	339.9862669	343.3685303	1358.551025	1350.830078	7.720947266
209.938514	349.9656672	347.9736328	1359.222412	1351.074219	8.148193359
212.9620302	349.9656672	353.2470703	1360.015869	1351.409912	8.605957031
214.9606211	349.9656672	353.1555176	1359.222412	1351.409912	7.8125
215.939059	359.9908446	357.6324463	1360.321045	1351.776123	8.544921875
218.9627092	359.9908446	363.1530762	1360.38208	1351.776123	8.605957031
220.9611721	359.9908446	363.2171631	1359.924316	1351.776123	8.148193359
221.9408541	369.9702449	367.46521	1360.870361	1352.233887	8.636474609
224.9633162	369.9702449	373.0407715	1360.778809	1352.386475	8.392333984
226.9617312	369.9702449	373.0865479	1360.900879	1352.325439	8.575439453
227.941401	379.9954223	377.3895264	1360.961914	1352.56958	8.392333984
230.963861	379.9954223	383.0108643	1360.748291	1352.813721	7.934570313
232.9624472	379.9954223	383.1390381	1360.961914	1352.783203	8.178710938
233.942363	389.9748226	387.0758057	1361.083984	1353.302002	7.781982422
236.9646242	389.9748226	393.081665	1361.297607	1353.363037	7.934570313
238.9632471	389.9748226	392.9718018	1361.51123	1353.393555	8.117675781
239.9429972	400	397.4304199	1361.846924	1353.668213	8.178710938
242.9654531	400	402.822876	1362.884521	1354.003906	8.880615234
244.9636722	400	402.923584	1363.342285	1353.942871	9.399414063
245.9431112	409.9794003	407.1350098	1363.677979	1354.309082	9.368896484
248.9667082	409.9794003	412.8753662	1362.609863	1354.46167	8.148193359
250.9649682	409.9794003	412.8295898	1363.128662	1354.522705	8.605957031
251.9444931	419.9588006	417.3156738	1363.189697	1354.858398	8.331298828
254.96668	419.9588006	422.5524902	1364.318848	1355.072021	9.246826172
256.9662552	419.9588006	422.7264404	1364.776611	1355.041504	9.735107422
257.9444852	429.983978	426.763916	1363.494873	1355.407715	8.087158203
260.9679821	429.983978	432.5775146	1363.525391	1355.621338	7.904052734
262.9663031	429.983978	432.6141357	1364.135742	1355.682373	8.453369141
263.945893	439.9633783	437.0361328	1365.203857	1355.987549	9.216308594
266.9680212	439.9633783	442.364502	1364.135742	1356.140137	7.995605469
268.967597	439.9633783	442.4468994	1364.654541	1356.018066	8.636474609
269.9458091	449.9885557	447.088623	1365.17334	1356.323242	8.850097656
272.9692831	449.9885557	452.4169922	1367.06543	1356.567383	10.49804688
274.9676552	449.9885557	452.5268555	1366.546631	1356.414795	10.13183594
275.9473462	459.9679561	456.7199707	1365.447998	1356.933594	8.514404297
278.9864821	459.9679561	462.2406006	1365.325928	1357.23877	8.087158203
280.9898481	459.9679561	462.3413086	1365.722656	1357.177734	8.544921875
281.9686651	469.9931334	466.708374	1366.729736	1357.635498	9.094238281
284.9712851	469.9931334	472.3114014	1366.088867	1357.727051	8.361816406
286.9699931	469.9931334	472.2747803	1366.210938	1357.910156	8.30078125
287.948693	479.9725338	476.4404297	1365.814209	1358.306885	7.507324219
290.9675272	479.9725338	482.2723389	1366.210938	1358.428955	7.781982422
292.991065	479.9725338	482.244873	1366.607666	1358.428955	8.178710938
293.969938	489.9977111	486.7126465	1366.05835	1358.825684	7.232666016
296.9688241	489.9977111	492.1142578	1367.675781	1358.947754	8.728027344
298.9712181	489.9977111	492.1600342	1367.1875	1358.947754	8.239746094
299.949918	499.9771115	496.307373	1370.880127	1359.436035	11.4440918
302.9691191	499.9771115	502.0568848	1369.628906	1359.741211	9.887695313
304.971446	499.9771115	502.0477295	1367.797852	1359.588623	8.209228516
305.9515831	509.9565118	506.3964844	1371.337891	1360.015869	11.32202148
308.9904902	509.9565118	511.9628906	1368.896484	1360.015869	8.880615234
310.973114	509.9565118	512.0544434	1369.903564	1360.168457	9.735107422
311.9520571	519.9816892	516.2200928	1368.011475	1360.717773	7.293701172
314.971097	519.9816892	521.9604492	1368.804932	1360.748291	8.056640625
316.9734261	519.9816892	522.052002	1373.22998	1360.778809	12.45117188
317.9520991	529.9610895	526.1993408	1369.049072	1361.358643	7.690429688
