a	b
435.1648352	1368.041992
437.0695971	1368.164063
446.1538462	1368.408203
446.3003663	1368.469238
445.4212454	1368.530273
445.5677656	1368.469238
449.6703297	1368.652344
455.970696	1368.835449
454.2124542	1368.896484
454.6520147	1368.835449
455.5311355	1368.95752
459.3406593	1369.20166
465.9340659	1369.262695
462.1245421	1369.32373
464.7619048	1369.506836
464.4688645	1369.445801
469.3040293	1369.628906
475.3113553	1369.689941
473.992674	1369.812012
476.3369963	1369.812012
473.8461538	1369.995117
479.4139194	1370.117188
485.4212454	1370.422363
486.1538462	1370.300293
487.9120879	1370.605469
483.956044	1370.483398
489.3772894	1370.422363
496.1172161	1370.97168
494.9450549	1371.032715
497.8754579	1370.910645
495.6776557	1370.788574
500.0732601	1370.97168
505.9340659	1371.459961
507.3992674	1371.459961
505.2014652	1371.337891
507.5457875	1371.398926
509.1575092	1371.520996
517.6556777	1372.009277
512.3809524	1371.887207
521.3186813	1371.948242
520.7326007	1371.948242
520.1465201	1372.131348
534.9450549	1372.497559
530.6959707	1372.314453
529.6703297	1372.436523
530.8424908	1372.436523
539.1941392	1372.680664
538.6080586	1372.924805
538.9010989	1372.314453
539.7802198	1372.375488
541.6849817	1372.436523
541.3919414	1372.619629
547.1062271	1372.375488
545.6410256	1372.558594
549.3040293	1372.802734
545.9340659	1372.619629
550.9157509	1373.046875
556.6300366	1373.046875
554.8717949	1373.168945
554.8717949	1373.22998
556.9230769	1373.22998
560	1373.413086
563.956044	1373.596191
563.956044	1373.535156
570.2564103	1373.657227
564.8351648	1373.535156
570.1098901	1373.840332
573.4798535	1374.206543
577.4358974	1374.023438
577.1428571	1374.145508
578.1684982	1374.145508
580.5128205	1374.389648
585.7875458	1374.694824
587.2527473	1374.572754
586.5201465	1374.572754
586.959707	1374.633789
591.6483516	1374.755859
596.9230769	1375.061035
596.6300366	1375.183105
598.8278388	1375.061035
596.6300366	1375.061035
601.3186813	1375.305176
605.4212454	1375.732422
604.6886447	1375.732422
607.3260073	1375.671387
608.7912088	1375.610352
611.5750916	1375.976563
615.3846154	1376.159668
616.8498168	1376.098633
620.5128205	1376.220703
616.5567766	1376.098633
621.0989011	1376.464844
629.010989	1376.708984
626.6666667	1376.77002
630.6227106	1376.586914
627.985348	1376.586914
632.0879121	1376.89209
637.0695971	1377.197266
638.974359	1377.13623
638.0952381	1377.197266
635.6043956	1377.13623
643.3699634	1377.380371
648.0586081	1377.685547
646.4468864	1377.807617
648.9377289	1377.563477
647.4725275	1377.563477
651.7216117	1377.868652
658.9010989	1378.173828
659.6336996	1378.051758
657.7289377	1378.173828
659.3406593	1378.112793
663.003663	1378.479004
666.8131868	1378.662109
666.0805861	1378.601074
667.8388278	1378.540039
666.3736264	1378.723145
672.3809524	1378.90625
676.6300366	1379.089355
676.043956	1379.211426
678.0952381	1379.211426
675.3113553	1379.089355
680.4395604	1379.272461
689.6703297	1379.760742
688.9377289	1379.760742
687.7655678	1379.699707
689.3772894	1379.638672
692.1611722	1380.004883
696.4102564	1380.432129
697.1428571	1380.249023
696.4102564	1380.310059
698.021978	1380.310059
700.5128205	1380.493164
708.7179487	1380.737305
706.959707	1380.859375
705.2014652	1380.737305
708.1318681	1380.67627
711.2087912	1381.04248
718.6813187	1381.286621
718.2417582	1381.286621
719.2673993	1381.347656
718.8278388	1381.225586
721.7582418	1381.652832
725.8608059	1381.591797
730.4029304	1381.652832
728.6446886	1381.652832
727.9120879	1381.774902
732.4542125	1382.080078
738.3150183	1382.263184
741.2454212	1382.324219
739.1941392	1382.263184
738.4615385	1382.202148
744.1758242	1382.446289
750.3296703	1382.8125
750.03663	1382.8125
748.8644689	1382.93457
748.2783883	1382.873535
751.7948718	1383.117676
759.8534799	1383.422852
758.974359	1383.422852
757.9487179	1383.422852
759.8534799	1383.361816
